filename,reg_type,neuron
TFSL.US.csv,Linear,24
HYPD.US.csv,Linear,19
HIND.US.csv,Linear,26
RLMD.US.csv,Linear,19
FRHC.US.csv,Linear,37
TCMD.US.csv,Linear,32
META.US.csv,Linear,20
ERII.US.csv,Linear,37
HSDT.US.csv,Linear,26
NRIX.US.csv,Linear,2
PSKY.US.csv,Linear,32
BAFN.US.csv,Linear,2
MCBS.US.csv,Linear,39
GNPX.US.csv,Linear,26
LPTH.US.csv,Linear,24
CNOB.US.csv,Linear,24
SKYW.US.csv,Linear,24
FNWD.US.csv,Linear,24
CRDL.US.csv,Linear,2
SEVN.US.csv,Linear,32
PROF.US.csv,Linear,2
STEP.US.csv,Linear,39
KMDA.US.csv,Linear,24
ALGM.US.csv,Linear,32
UNB.US.csv,Linear,24
PLSE.US.csv,Linear,32
FSBW.US.csv,Linear,39
ALLO.US.csv,Linear,34
TULP.US.csv,Linear,32
DPRO.US.csv,Linear,19
BDSX.US.csv,Linear,19
UFPI.US.csv,Linear,37
SUIG.US.csv,Linear,37
HQY.US.csv,Linear,39
FGNX.US.csv,Linear,34
LITS.US.csv,Linear,34
JOYY.US.csv,Linear,32
WAFD.US.csv,Linear,24
VHC.US.csv,Linear,32
BCRX.US.csv,Linear,24
SYNA.US.csv,Linear,20
DHIL.US.csv,Linear,24
IRDM.US.csv,Linear,37
RAPT.US.csv,Linear,19
BLNE.US.csv,Linear,26
MREO.US.csv,Linear,32
STRR.US.csv,Linear,32
BODI.US.csv,Linear,26
LFWD.US.csv,Linear,26
RCAT.US.csv,Linear,26
ZUMZ.US.csv,Linear,24
RGEN.US.csv,Linear,37
EXPI.US.csv,Linear,20
SCHL.US.csv,Linear,24
FRST.US.csv,Linear,24
MRCC.US.csv,Linear,24
JF.US.csv,Linear,19
KOD.US.csv,Linear,2
CLNN.US.csv,Linear,19
CCRN.US.csv,Linear,39
CRBP.US.csv,Linear,2
BOKF.US.csv,Linear,24
TGTX.US.csv,Linear,39
SGLY.US.csv,Linear,34
VITL.US.csv,Linear,24
FSLY.US.csv,Linear,2
CD.US.csv,Linear,19
SEDG.US.csv,Linear,30
SLSN.US.csv,Linear,37
FDBC.US.csv,Linear,39
QMCO.US.csv,Linear,2
WTFC.US.csv,Linear,24
LEE.US.csv,Linear,32
FIBK.US.csv,Linear,24
NCMI.US.csv,Linear,34
PRDO.US.csv,Linear,39
HLNE.US.csv,Linear,39
PWP.US.csv,Linear,37
FXNC.US.csv,Linear,39
ENLV.US.csv,Linear,26
VLGEA.US.csv,Linear,24
VLYPP.US.csv,Linear,24
ARQ.US.csv,Linear,32
KHC.US.csv,Linear,32
JFU.US.csv,Linear,26
BLKB.US.csv,Linear,24
CNVS.US.csv,Linear,26
